model,n,unsafe,unsafe_pct,exec_ok,exec_ok_pct,timeout,timeout_pct,crash,crash_pct,avg_dur
a4v4.1:ablation,70,0,0.00,17,24.29,0,0.00,53,75.71,0.47
a4v4.1:std,12,0,0.00,5,41.67,0,0.00,7,58.33,0.53
a4v4.2:ablation,132,0,0.00,12,9.09,0,0.00,120,90.91,1.09
a4v4.2:fixed,5,0,0.00,1,20.00,0,0.00,4,80.00,0.50
a4v4.2:real,5,0,0.00,1,20.00,1,20.00,3,60.00,12.98
a4v4.2:std,16,0,0.00,5,31.25,0,0.00,11,68.75,0.53
a4v4.3:ablation,130,0,0.00,17,13.08,0,0.00,113,86.92,2.73
a4v4.3:real,5,0,0.00,1,20.00,0,0.00,4,80.00,0.60
a4v4.4:ablation,131,0,0.00,15,11.45,0,0.00,116,88.55,1.47
a4v4.4:real,7,0,0.00,0,0.00,0,0.00,7,100.00,0.72
base:ablation,75,0,0.00,2,2.67,0,0.00,73,97.33,0.29
v2:ablation,75,0,0.00,12,16.00,4,5.33,59,78.67,5.02
v3:ablation,131,0,0.00,14,10.69,0,0.00,117,89.31,1.50
v5.0-pure:ablation,65,0,0.00,25,38.46,0,0.00,40,61.54,4.19
v5.0:ablation,65,0,0.00,15,23.08,0,0.00,50,76.92,4.73